"","FID_","latitude","longitude","species","bio1","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19"
"71923",26233,23.973,-99.772,"mexicana",186,154,60,3643,303,47,256,220,137,225,135,582,108,14,68,280,52,259,53
"71937",56782,23.45,-99.267,"mexicana",207,137,58,3539,315,79,236,239,170,245,158,570,109,10,71,266,43,246,44
"71944",57162,24,-99.567,"mexicana",164,150,64,2754,272,40,232,177,125,194,125,1002,255,15,85,504,64,349,64
"71953",57171,24.61,-99.88,"mexicana",193,151,61,3247,307,62,245,224,148,230,148,595,127,13,73,277,45,244,45
"71960",57178,24.763,-99.935,"mexicana",165,152,67,2313,271,46,225,186,140,192,133,617,117,18,62,270,59,211,64
"71963",57181,24.51667,-99.96667,"mexicana",124,146,67,2108,229,14,215,140,99,147,93,717,133,22,60,307,77,253,79
"71968",57186,24.59,-99.993,"mexicana",159,155,68,2367,266,39,227,179,133,186,126,580,105,18,59,245,61,201,64
"71969",57187,24.805,-100.069,"mexicana",185,155,65,2640,298,61,237,210,157,216,149,461,77,12,55,192,43,171,51
"71973",57196,25.336,-100.941,"mexicana",140,149,61,3341,259,17,242,171,100,176,92,474,73,14,54,212,53,171,58
"71975",57198,25.34,-100.954,"mexicana",141,149,61,3395,260,17,243,172,100,178,93,470,73,13,55,212,51,170,57
"71990",26256,22.1575,-100.979,"mexicana",180,162,65,2606,301,53,248,203,156,209,143,342,66,6,72,163,23,122,25
"72008",26749,20,-98.64,"mexicana",142,152,68,1729,250,27,223,153,118,162,118,482,82,6,69,227,30,176,32
"72022",26898,19.715,-99.222,"mexicana",156,169,69,2043,270,26,244,174,127,177,127,638,130,4,88,362,17,199,17
"72038",26237,22.083,-100.633,"mexicana",156,156,65,2399,276,37,239,171,133,183,123,505,97,9,77,257,35,152,37
"72046",57715,22.033,-100.6,"mexicana",158,157,65,2436,277,37,240,173,134,185,123,513,99,9,79,261,35,155,37
"72056",26342,20.83333,-99.25,"mexicana",129,136,65,2050,235,27,208,139,103,153,100,1030,227,15,84,534,59,275,74
"72060",26349,20.84,-99.257,"mexicana",167,152,66,2261,279,52,227,181,148,192,136,764,151,14,75,375,52,231,63
"72065",26384,20.676,-98.754,"mexicana",135,127,63,2031,239,38,201,143,121,161,108,1295,302,22,82,671,78,327,115
"72066",26386,21.396,-99.156,"mexicana",170,138,63,2469,278,61,217,186,147,197,135,1473,353,28,82,769,97,360,108
"72077",26758,20.1717,-98.7233,"mexicana",115,131,67,1568,212,18,194,119,95,134,94,902,158,18,71,432,56,274,72
"72079",26760,20.1661,-98.7086,"mexicana",112,131,67,1556,209,15,194,116,92,131,91,912,161,18,71,439,56,276,72
"72084",26765,20.12,-98.6961,"mexicana",132,133,66,1657,231,31,200,135,111,152,109,740,129,13,70,342,47,244,59
"72088",26769,20.1478,-98.7358,"mexicana",128,131,66,1592,226,30,196,137,109,148,107,820,140,16,69,379,54,263,69
"72097",26779,20.125,-98.683,"mexicana",117,131,67,1587,214,19,195,121,97,137,96,874,151,17,70,414,54,269,71
"72101",26784,20.15,-98.73,"mexicana",126,129,66,1578,222,29,193,129,106,146,105,857,146,17,68,397,56,270,74
"72104",26793,20.033,-98.535,"mexicana",132,142,67,1697,235,25,210,137,110,153,109,634,111,10,71,300,40,209,48
"72106",26803,20.17,-98.73,"mexicana",122,128,66,1613,218,25,193,126,102,142,100,884,152,18,69,413,58,273,76
"72112",57579,20.617,-98.683,"mexicana",137,128,63,2080,242,39,203,145,122,163,109,1327,315,23,81,689,83,322,125
"72113",57581,20.889,-99.202,"mexicana",146,140,65,2182,255,40,215,158,129,171,116,1108,249,18,83,595,66,287,86
"72119",57707,21.232,-99.141,"mexicana",194,145,63,2718,305,75,230,214,167,222,155,1417,353,25,84,744,83,498,99
"72121",57709,21.074,-99.175,"mexicana",184,149,65,2481,296,67,229,201,161,210,149,1085,262,19,81,557,67,278,77
"72124",58965,20.151,-98.662,"mexicana",125,127,66,1559,220,30,190,133,106,144,104,897,150,20,67,411,62,283,80
"72130",58971,20.215,-98.732,"mexicana",141,135,65,1753,246,39,207,144,120,164,118,1066,232,13,85,549,49,313,73
"72136",26377,21.1342,-99.6253,"mexicana",146,146,65,2259,258,36,222,160,116,172,115,1047,222,17,81,548,63,269,75
"72140",26385,21.083,-99.665,"mexicana",150,148,66,2250,263,39,224,164,120,176,119,1007,207,16,81,526,60,262,71
"72141",26389,21.11,-99.504,"mexicana",195,159,66,2553,311,72,239,212,171,222,159,656,142,10,79,324,39,197,40
"72149",57710,21.182,-99.32,"mexicana",212,150,61,2977,329,86,243,234,184,243,170,998,237,12,88,534,42,386,47
"72161",22918,40.39194,-80.0375,"michauxii",99,121,33,8730,284,-81,365,188,-18,208,-18,988,104,61,17,302,201,292,201
"72169",24841,33.97,-86.58,"michauxii",160,134,39,7480,324,-12,336,76,215,253,60,1411,162,77,19,425,270,312,395
"72232",24252,37.533298,-89.433296,"michauxii",135,124,32,9018,321,-57,378,135,199,246,13,1162,123,73,16,351,252,293,256
"72265",24797,33.25139,-87.45306,"michauxii",168,132,40,7370,329,-1,330,86,222,261,71,1439,163,84,19,439,270,331,412
"72280",25149,35.90004,-79.03195,"michauxii",150,133,39,7590,318,-22,340,246,104,246,49,1148,114,81,12,326,249,326,277
"72296",24253,36.826263,-89.295929,"michauxii",143,116,31,8914,323,-44,367,143,206,253,22,1242,132,77,16,380,254,288,297
"72321",25396,32.62,-92.88,"michauxii",176,130,38,7414,337,2,335,176,230,267,76,1352,142,78,15,377,272,289,370
"72328",25721,30.795806,-85.215887,"michauxii",193,134,45,6188,331,35,296,267,154,267,109,1433,171,73,22,454,269,454,366
"72340",25842,30.170565,-84.403944,"michauxii",198,128,45,5880,329,46,283,269,162,269,120,1514,203,78,30,541,262,541,335
"72344",25975,29.675041,-82.357654,"michauxii",204,129,47,5336,328,57,271,268,173,268,132,1330,199,57,41,541,189,541,276
"72364",111992,39.17859,-75.620653,"michauxii",126,111,32,8359,301,-43,344,225,16,232,16,1081,110,75,11,308,242,301,242
"72379",116036,38.161362,-75.301158,"michauxii",134,104,32,7835,296,-25,321,229,149,233,32,1080,125,81,14,311,246,308,256
"72386",116043,37.750766,-75.624358,"michauxii",140,94,30,7792,295,-16,311,235,101,238,38,1021,108,72,13,289,232,285,246
"72406",115535,38.121441,-86.006085,"michauxii",128,119,33,8682,306,-51,357,125,191,236,12,1163,117,69,15,339,243,307,270
"72436",131483,35.257718,-89.937295,"michauxii",161,112,32,8342,330,-14,344,161,219,265,49,1282,136,72,20,395,241,261,343
"72439",145958,35.476812,-88.627915,"michauxii",151,130,36,8078,324,-29,353,151,209,252,43,1350,138,78,17,400,255,292,359
"72465",133343,34.736204,-88.786087,"michauxii",155,128,37,7788,323,-19,342,155,211,252,51,1437,154,82,20,432,261,293,397
"72477",138652,33.306102,-88.822266,"michauxii",168,129,39,7238,327,2,325,125,221,259,73,1409,155,83,21,430,261,295,409
"72489",139441,34.477023,-88.356357,"michauxii",159,135,39,7676,329,-14,343,159,215,255,57,1431,157,83,20,430,262,289,408
"72499",140438,32.903453,-83.053173,"michauxii",177,139,42,6844,335,10,325,101,182,262,86,1161,123,61,19,353,213,316,331
"72515",141010,32.123632,-86.322796,"michauxii",180,128,41,6821,329,20,309,105,186,264,90,1345,159,65,20,410,264,333,379
"72530",141643,32.741434,-85.309688,"michauxii",168,135,41,6961,323,1,322,91,220,255,75,1400,162,72,22,430,260,340,403
"72554",145514,31.444457,-91.133776,"michauxii",184,129,41,6705,331,22,309,94,233,266,94,1532,163,87,18,445,290,339,445
"72575",145977,33.356901,-89.83687,"michauxii",167,132,39,7392,328,-3,331,166,221,259,68,1445,158,80,21,426,259,294,417
"72613",150599,32.870638,-87.759216,"michauxii",174,132,40,7240,333,6,327,94,227,264,78,1382,158,80,20,430,259,308,403
"72614",150600,32.97032,-88.169811,"michauxii",172,133,40,7348,331,1,330,128,225,263,74,1395,162,79,21,437,260,309,402
"72618",150604,32.025156,-88.07019,"michauxii",180,140,43,6850,336,11,325,104,229,264,88,1467,170,79,20,450,273,345,428
"72649",151904,31.833456,-86.386858,"michauxii",179,135,42,6690,330,16,314,104,185,261,90,1412,167,67,20,434,273,361,394
"72664",113702,38.070837,-76.348588,"michauxii",142,105,31,8206,307,-24,331,239,99,245,34,1051,106,75,12,298,236,295,241
"72680",127348,35.197979,-91.315012,"michauxii",160,122,34,8321,336,-20,356,162,264,264,48,1270,133,82,20,396,258,258,310
"72685",128309,34.558329,-90.885022,"michauxii",161,120,34,8223,330,-19,349,163,219,263,49,1317,137,74,20,406,248,264,344
"72693",150471,30.444609,-90.103289,"michauxii",192,124,42,6194,330,37,293,264,198,268,110,1565,162,78,15,432,316,431,421
"72787",140371,32.868259,-80.519277,"michauxii",182,124,40,6574,327,21,306,263,142,263,94,1278,163,62,29,463,224,463,277
"72803",131729,34.732499,-92.707187,"michauxii",163,133,37,7884,338,-20,358,163,261,261,56,1343,142,82,18,412,283,283,303
"72869",143936,31.928901,-92.167966,"michauxii",182,131,40,6915,336,16,320,89,232,267,89,1464,159,87,18,428,282,301,428
"72875",143942,33.083572,-92.402184,"michauxii",171,134,39,7525,336,-5,341,172,225,264,70,1335,135,81,14,381,274,287,356
"72879",143946,32.273762,-92.424896,"michauxii",180,131,40,7103,338,13,325,180,231,268,85,1399,148,80,18,403,266,291,401
"72915",148694,31.17048,-94.826393,"michauxii",190,132,41,6833,347,27,320,229,270,275,99,1144,126,68,15,327,249,252,288
"72934",152652,30.620925,-92.86903,"michauxii",193,122,40,6449,334,35,299,118,154,270,105,1554,165,106,12,431,351,389,426
"72940",152658,30.543756,-94.33923,"michauxii",191,132,42,6383,340,32,308,253,154,268,104,1370,145,88,16,392,297,335,353
"72943",152661,30.103456,-94.539366,"michauxii",198,118,40,6313,338,45,293,260,159,275,113,1376,146,87,15,394,276,364,329
"72945",152664,30.244689,-94.43523,"michauxii",195,123,41,6371,338,39,299,258,156,272,108,1386,147,91,15,399,282,359,338
"72948",152667,30.538173,-92.925329,"michauxii",193,120,40,6436,334,37,297,119,155,271,106,1530,160,105,12,420,343,390,415
"72960",152679,30.479725,-94.079875,"michauxii",192,130,41,6498,340,30,310,256,153,270,103,1397,145,94,15,400,298,353,357
"72968",141450,31.768101,-83.059292,"michauxii",186,132,42,6575,335,25,310,267,192,267,98,1177,133,55,24,372,203,372,315
"73003",151200,31.072786,-90.313857,"michauxii",187,132,43,6434,333,28,305,101,191,266,101,1597,158,83,16,454,307,395,454
"73016",151920,30.624117,-85.692174,"michauxii",192,129,44,6133,327,38,289,266,154,266,110,1525,193,83,25,513,288,513,369
"73031",154297,30.012443,-82.817479,"michauxii",201,137,48,5579,332,47,285,269,168,269,126,1267,181,51,38,503,193,503,276
"73034",155028,29.269995,-82.700522,"michauxii",207,135,50,5134,330,60,270,268,178,268,138,1384,215,53,46,586,191,586,270
"73045",155122,29.951097,-95.118656,"michauxii",202,110,38,6320,337,52,285,264,163,279,116,1280,147,80,19,386,252,347,280
"73052",25421,31.092392,-85.821014,"minima",189,129,43,6389,328,32,296,267,195,267,104,1419,161,75,21,427,270,427,376
"73055",25498,30.790184,-89.112297,"minima",191,123,41,6330,332,37,295,264,196,269,107,1630,170,80,17,464,327,455,434
"73065",25580,30.44,-86.78,"minima",195,101,37,6214,318,50,268,267,158,270,113,1522,177,77,26,521,291,501,347
"73078",25793,30.25985,-84.868584,"minima",196,128,45,5935,327,44,283,268,160,268,117,1518,199,82,28,527,270,527,339
"73081",25796,30.12675,-84.30637,"minima",198,128,45,5860,329,46,283,269,163,269,120,1506,204,76,31,544,258,544,332
"73083",25845,30.14036,-84.375114,"minima",198,128,45,5844,329,47,282,269,163,269,120,1510,204,78,31,543,261,543,332
"73085",25847,30.405886,-85.197359,"minima",194,133,46,5985,329,40,289,267,158,267,114,1522,196,84,26,520,276,520,348
"73087",25849,29.890147,-84.799665,"minima",200,117,43,5758,324,55,269,268,166,269,123,1504,204,81,34,578,268,544,315
"73090",25852,29.764007,-84.863126,"minima",201,112,42,5741,322,59,263,269,167,270,125,1478,201,78,36,586,265,536,302
"73092",25854,30.045465,-85.012962,"minima",199,121,44,5824,326,51,275,267,165,269,121,1554,210,83,32,577,281,558,336
"73096",25937,30.062893,-81.83916,"minima",204,120,44,5460,330,60,270,267,172,269,130,1302,187,54,41,518,199,514,244
"73099",26061,28.8528,-81.685303,"minima",214,121,47,4854,329,76,253,271,188,271,148,1222,170,53,42,495,180,495,221
"73101",26078,28.062701,-81.14957,"minima",223,117,50,4260,329,95,234,272,176,273,165,1231,180,49,48,529,164,507,178
"73108",26111,28.309362,-82.390644,"minima",219,118,49,4571,328,88,240,273,195,273,157,1379,216,55,51,602,184,602,221
"73112",26126,26.640301,-81.872498,"minima",232,115,52,3916,331,112,219,277,189,278,179,1344,229,40,67,660,133,633,147
"73113",26127,26.868933,-81.941078,"minima",229,120,52,4006,332,105,227,275,185,275,174,1271,214,37,63,612,141,612,158
"73132",56057,30.158189,-84.961395,"minima",198,126,44,5912,328,47,281,266,162,269,119,1544,206,83,30,553,278,546,339
"73137",56131,30.028083,-84.981995,"minima",199,121,44,5832,325,50,275,267,165,269,121,1549,209,83,32,577,280,556,334
"73141",56312,29.634949,-83.126335,"minima",200,134,48,5514,326,47,279,266,168,266,125,814,127,31,43,327,139,327,196
"73142",56338,29.20718,-82.990973,"minima",206,132,49,5248,328,60,268,267,176,268,135,1167,180,46,46,492,174,487,239
"73143",56346,29.206452,-82.991613,"minima",207,132,49,5214,328,60,268,267,177,268,136,1171,181,46,46,494,174,489,239
"73145",56533,28.304381,-81.408005,"minima",223,119,50,4387,330,92,238,274,174,274,163,1196,181,43,49,516,167,516,190
"73152",56482,27.170904,-81.35747,"minima",222,133,54,4128,335,89,246,270,177,270,165,1253,213,44,59,590,144,538,159
"73153",56531,27.300631,-80.273945,"minima",231,103,49,3653,324,117,207,274,181,274,181,1346,191,56,41,498,192,498,192
"73155",56530,27.007097,-80.130464,"minima",233,101,50,3519,324,124,200,274,185,274,185,1417,200,61,40,513,200,513,200
"73159",155293,28.989227,-81.26947,"minima",213,117,47,4779,327,79,248,269,160,269,148,1360,194,58,45,559,189,559,216
"73169",148434,30.518888,-85.983725,"minima",193,120,42,6150,324,43,281,268,155,268,112,1572,201,90,26,538,296,538,363
"73172",148437,30.638085,-86.39896,"minima",190,116,41,6263,322,41,281,264,151,267,108,1560,186,87,24,520,298,515,360
"73175",148440,30.57477,-86.359317,"minima",192,114,40,6241,322,43,279,265,153,268,110,1549,187,85,25,526,295,518,354
"73186",151926,30.896253,-86.581421,"minima",187,127,43,6341,325,31,294,264,146,264,103,1558,177,87,20,485,304,485,383
"73191",152575,30.462761,-84.65994,"minima",194,129,44,6004,328,40,288,267,157,267,114,1485,190,77,25,500,264,500,348
"73195",153140,29.878011,-85.335336,"minima",201,108,41,5831,322,60,262,269,166,271,123,1507,205,73,34,581,284,545,315
"73197",153142,29.89746,-84.618687,"minima",200,120,44,5765,325,53,272,268,166,270,123,1499,205,79,34,570,262,547,316
"73198",153143,30.313463,-86.068498,"minima",196,111,40,6105,322,50,272,268,159,270,115,1549,199,86,28,547,293,540,346
"73199",153144,30.376244,-85.217594,"minima",195,132,45,5990,329,41,288,267,158,267,115,1536,200,84,27,531,279,531,350
"73211",154304,29.561918,-82.611267,"minima",204,135,49,5313,329,54,275,267,174,267,132,1315,201,51,43,546,186,546,271
"73218",154311,29.405933,-82.873736,"minima",205,137,50,5268,329,55,274,267,175,267,134,1204,186,43,46,503,176,503,252
"73219",154312,29.237842,-82.434142,"minima",207,134,50,5092,329,61,268,267,178,267,138,1379,203,57,44,575,193,575,261
"73230",155039,29.231353,-82.955048,"minima",206,133,49,5228,329,59,270,267,177,268,136,1182,182,45,46,498,174,494,243
"73234",155043,28.861653,-82.453735,"minima",211,132,50,4936,329,68,261,269,183,269,144,1371,210,54,47,586,189,586,241
"73237",155086,28.411816,-82.546368,"minima",218,118,49,4658,327,87,240,273,193,273,155,1365,221,56,50,591,183,591,233
"73243",155092,28.611597,-82.195087,"minima",216,129,50,4671,331,78,253,271,190,271,152,1327,200,55,48,567,176,567,231
"73264",155284,28.78648,-80.789931,"minima",216,101,44,4520,320,93,227,269,166,269,155,1328,190,57,43,535,193,535,201
"73265",155287,29.934064,-81.365451,"minima",207,108,42,5192,325,72,253,267,149,268,137,1270,172,58,38,491,206,473,240
"73272",155297,29.064554,-80.996044,"minima",213,107,45,4671,322,86,236,268,162,268,150,1269,176,58,41,496,188,476,204
"73273",155298,28.148511,-81.137725,"minima",223,115,49,4261,327,95,232,272,175,272,164,1235,179,50,48,526,167,508,180
"73274",155372,28.353905,-82.274809,"minima",218,122,50,4552,329,85,244,272,194,272,156,1392,206,57,48,596,189,596,224
"73281",155212,29.162111,-81.806606,"minima",210,126,48,4965,329,69,260,268,182,268,143,1287,179,56,40,515,197,515,231
"73291",155285,29.02836,-81.542432,"minima",212,121,47,4882,329,75,254,270,158,270,146,1294,180,56,42,524,191,524,223
"73294",155378,27.372962,-81.469193,"minima",223,131,53,4172,334,90,244,270,176,271,165,1198,202,41,57,550,145,508,163
"73297",26028,28.464,-102.075,"mohriana",186,133,48,5144,313,39,274,238,130,245,114,369,83,7,73,183,30,146,33
"73298",26029,28.47,-102.07,"mohriana",186,133,48,5144,313,39,274,238,130,245,114,369,83,7,73,183,30,146,33
"73303",56378,28.47,-102.07,"mohriana",186,133,48,5144,313,39,274,238,130,245,114,369,83,7,73,183,30,146,33
"73309",24042,36.85146,-103.71638,"mohriana",102,166,43,7828,299,-87,386,205,4,205,4,416,78,9,66,197,31,197,31
"73312",24315,36.277626,-101.894714,"mohriana",132,161,40,8650,335,-67,402,221,22,245,22,445,69,10,60,201,34,196,34
"73313",24390,35.85881,-103.850822,"mohriana",125,171,42,8222,325,-75,400,231,19,231,19,375,73,7,71,189,24,189,24
"73314",24391,36.1241,-103.60768,"mohriana",119,172,42,8160,322,-79,401,225,14,225,14,378,74,6,73,191,22,191,22
"73317",24519,35.299695,-100.64468,"mohriana",150,151,38,8459,345,-47,392,236,39,257,39,567,91,13,53,235,51,212,51
"73318",24671,35.107018,-103.548073,"mohriana",146,166,42,8166,342,-50,392,252,42,252,42,375,78,8,70,191,29,191,29
"73319",24672,35.9037,-103.70104,"mohriana",128,173,42,8257,330,-73,403,235,22,235,22,369,72,7,72,185,24,185,24
"73320",24673,34.99052,-103.3317,"mohriana",137,166,42,7978,331,-56,387,240,34,240,34,427,74,11,61,204,38,204,38
"73321",24674,35.858,-103.817,"mohriana",129,173,42,8279,331,-73,404,236,23,236,23,363,71,7,71,182,24,182,24
"73322",24675,35.1063,-103.552,"mohriana",146,166,42,8156,342,-50,392,252,42,252,42,373,78,8,70,190,28,190,28
"73324",24749,33.66,-101.238,"mohriana",156,152,40,7958,339,-34,373,239,52,257,52,542,80,14,52,210,53,203,53
"73328",25050,34.525173,-101.205895,"mohriana",141,155,39,8302,331,-60,391,226,31,246,31,540,98,12,58,229,45,228,45
"73329",25051,34.96418,-101.356636,"mohriana",139,157,39,8341,332,-61,393,245,29,245,29,528,95,12,60,232,41,232,41
"73331",25053,34.44875,-101.029,"mohriana",157,158,39,8480,353,-47,400,245,45,265,45,502,87,11,57,209,41,204,41
"73333",25056,33.1811,-101.3,"mohriana",166,153,41,7922,346,-27,373,248,61,266,61,518,73,16,52,200,52,191,52
"73335",25058,34.966,-101.353,"mohriana",139,157,39,8341,332,-61,393,245,29,245,29,528,95,12,60,232,41,232,41
"73336",25059,34.5256,-101.207,"mohriana",140,155,39,8280,330,-60,390,225,31,245,31,540,98,12,58,229,45,228,45
"73337",25061,35.6867,-99.7031,"mohriana",147,148,36,8871,347,-56,403,195,30,259,30,608,104,12,53,245,54,200,54
"73339",25118,33.6202,-100.779,"mohriana",163,153,39,8242,351,-35,386,247,53,267,53,555,80,17,50,208,59,197,59
"73341",53510,36.84,-103.91,"mohriana",96,164,42,7765,290,-92,382,197,-2,197,-2,429,80,10,65,203,34,203,34
"73343",54171,35.37,-100.5,"mohriana",150,152,38,8549,347,-49,396,237,38,259,38,560,89,12,54,231,48,206,48
"73345",54476,35.43,-100.8,"mohriana",146,152,38,8515,342,-53,395,232,34,254,34,550,89,12,54,231,48,214,48
"73348",54479,34.98,-101.7,"mohriana",142,158,40,8226,331,-56,387,247,35,247,35,494,91,12,62,226,39,226,39
"73349",54480,34.517,-102.4,"mohriana",134,168,43,8021,325,-65,390,236,29,236,29,450,76,11,62,205,37,205,37
"73350",54964,34.74,-101.3,"mohriana",150,162,40,8474,346,-56,402,237,38,257,38,498,91,11,61,216,39,215,39
"73356",24521,35.3972,-100.267,"mohriana",147,150,37,8647,345,-53,398,235,34,257,34,573,93,13,55,233,49,204,49
"73358",24619,35.8775,-98.428,"mohriana",150,134,34,9054,347,-47,394,199,31,265,31,732,118,21,46,282,78,229,78
"73362",25113,32.34619,-100.41759,"mohriana",171,142,39,7592,342,-15,357,226,69,266,69,621,99,23,45,227,77,188,77
"73363",25115,32.7458,-100.917,"mohriana",170,148,40,7862,347,-20,367,252,65,268,65,547,81,17,50,201,58,185,58
"73366",25409,31.401583,-100.461357,"mohriana",187,143,41,7419,354,6,348,240,90,280,90,532,82,19,46,195,68,151,68
"73368",25411,31.4096,-100.457,"mohriana",187,143,40,7441,354,5,349,240,89,280,89,537,83,20,47,197,69,151,69
"73369",25917,31.877106,-100.635239,"mohriana",175,153,41,7771,350,-20,370,230,70,271,70,570,91,20,48,212,71,166,71
"73379",25622,31.4521,-105.374,"mohriana",158,180,47,7326,343,-34,377,240,115,251,63,248,49,4,76,137,17,121,26
"73380",25872,30.49007,-102.53634,"mohriana",174,154,45,6860,331,-8,339,220,99,258,82,384,71,10,57,165,35,135,39
"73383",25875,30.30787,-102.4384,"mohriana",179,154,44,7020,335,-8,343,226,103,264,83,370,68,9,58,160,33,127,36
"73384",25876,30.71358,-101.19981,"mohriana",180,150,42,7281,345,-9,354,231,81,269,81,485,81,16,47,191,58,145,58
"73387",25879,30.226,-102.067,"mohriana",191,151,43,7225,347,0,347,240,113,278,92,360,67,10,55,157,36,116,38
"73389",25881,30.7319,-101.409,"mohriana",182,151,42,7388,347,-10,357,233,81,272,81,454,78,15,50,182,52,136,52
"73391",25958,29.807,-103.246,"mohriana",189,170,48,6866,353,-1,354,263,116,272,97,338,58,7,64,158,28,144,32
"73396",24940,33.07302,-105.708,"mohriana",87,142,46,6232,244,-63,307,159,79,167,8,548,116,13,71,289,65,268,96
"73397",25089,31.98582,-104.76658,"mohriana",131,147,45,6387,291,-30,321,213,90,213,49,225,44,3,87,124,11,124,17
"73402",25952,29.192,-108.141,"mohriana",116,181,56,5087,277,-45,322,175,111,180,51,676,159,13,81,389,50,342,121
"73403",56257,29.192,-108.141,"mohriana",116,181,56,5087,277,-45,322,175,111,180,51,676,159,13,81,389,50,342,121
"73404",25955,30.359912,-103.43254,"mohriana",159,166,50,6197,317,-14,331,226,91,235,77,410,72,9,67,203,33,185,38
"73405",26027,28.151,-101.754,"mohriana",219,144,47,6042,360,55,305,283,155,289,136,580,124,13,72,269,44,233,45
"73406",26031,28.151,-101.754,"mohriana",219,144,47,6042,360,55,305,283,155,289,136,580,124,13,72,269,44,233,45
"73408",56377,28.151,-101.754,"mohriana",219,144,47,6042,360,55,305,283,155,289,136,580,124,13,72,269,44,233,45
"73429",24722,34.166698,-86.833298,"montana",153,135,39,7510,319,-19,338,69,208,246,52,1461,164,83,18,436,284,320,413
"73439",24846,33.97,-86.58,"montana",160,134,39,7480,324,-12,336,76,215,253,60,1411,162,77,19,425,270,312,395
"73449",22345,43.60888,-72.97972,"montana",74,128,30,9910,283,-134,417,197,-47,197,-60,982,108,56,17,290,186,290,195
"73453",22567,41.92916,-72.91388,"montana",78,115,30,9121,267,-109,376,126,-32,193,-44,1260,115,91,7,331,288,319,293
"73457",22589,42.33583,-73.485,"montana",66,113,30,9140,254,-120,374,159,-45,180,-57,1142,108,75,11,318,243,318,246
"73467",22700,42.07019,-73.37905,"montana",78,126,32,9117,274,-114,388,192,-32,192,-44,1136,106,74,10,310,244,310,249
"73474",22315,43.975101,-73.082802,"montana",67,121,29,9905,271,-139,410,190,-54,190,-67,969,109,54,19,292,175,292,184
"73477",22318,43.99477,-73.09584,"montana",69,121,29,9918,273,-138,411,192,-53,192,-65,947,107,52,20,287,170,287,179
"73487",22549,41.984402,-72.779404,"montana",93,122,31,9229,289,-97,386,141,-18,209,-31,1168,106,82,7,308,266,294,271
"73490",22552,41.3978,-72.922203,"montana",102,108,30,8696,282,-71,353,88,-2,212,-13,1178,111,85,8,318,277,282,278
"73492",22556,41.811699,-72.798599,"montana",86,114,30,9066,275,-97,372,132,-23,201,-34,1258,115,90,7,330,290,310,294
"73496",22561,42.303299,-72.531898,"montana",81,122,31,9261,276,-112,388,130,-30,198,-43,1147,104,82,7,303,259,299,264
"73503",22569,41.72777,-72.84083,"montana",97,118,31,9012,288,-86,374,142,-11,211,-23,1201,109,85,7,318,276,294,281
"73506",22572,41.32722,-72.905,"montana",104,103,29,8608,279,-65,344,88,0,213,-9,1137,108,84,8,305,270,271,271
"73511",22586,41.6464,-73.484703,"montana",94,125,32,9010,286,-96,382,184,-14,206,-27,1131,104,77,9,303,246,299,250
"73512",22588,41.305302,-73.5019,"montana",95,110,30,8777,276,-82,358,83,-11,205,-22,1239,115,86,8,331,283,307,283
"73520",22653,41.7897,-72.123901,"montana",89,122,32,8799,277,-97,374,48,-17,200,-28,1205,115,87,7,324,284,291,291
"73525",22659,42.544399,-72.605598,"montana",82,131,32,9436,284,-120,404,133,-32,200,-45,1110,101,77,8,295,248,291,255
"73529",22664,41.288898,-72.682198,"montana",105,102,29,8540,280,-63,343,65,213,213,-7,1158,110,87,8,308,273,273,283
"73533",22668,41.544399,-73.2089,"montana",96,118,31,8853,283,-87,370,85,-11,207,-22,1194,111,83,7,317,272,298,274
"73535",22672,41.469398,-71.871902,"montana",94,104,30,8335,266,-76,342,11,175,199,-15,1238,123,86,10,342,276,278,315
"73537",22674,41.358101,-72.563599,"montana",98,102,29,8566,274,-71,345,58,206,206,-14,1236,118,92,7,330,291,291,303
"73544",22682,41.78972,-72.12388,"montana",89,122,32,8799,277,-97,374,48,-17,200,-28,1205,115,87,7,324,284,291,291
"73548",22687,41.42,-72.7,"montana",100,105,29,8647,280,-71,351,86,210,210,-14,1207,113,89,7,321,286,286,291
"73566",22708,41.41476,-72.69771,"montana",98,104,29,8679,278,-72,350,84,209,209,-16,1228,115,90,7,326,291,291,296
"73568",22710,41.41531,-72.52851,"montana",98,104,29,8595,275,-73,348,58,207,207,-15,1241,118,92,7,331,292,292,304
"73569",22711,41.54444,-73.20888,"montana",96,118,31,8853,283,-87,370,85,-11,207,-22,1194,111,83,7,317,272,298,274
"73570",22801,41.420601,-74.059196,"montana",101,116,31,9082,293,-81,374,194,-19,216,-19,1131,104,74,9,302,245,299,245
"73574",22859,40.84888,-74.49333,"montana",93,118,32,8732,278,-88,366,180,-24,203,-24,1292,123,82,11,353,278,347,278
"73588",23119,41.761386,-88.164684,"montana",93,115,28,10120,292,-111,403,218,-45,218,-45,932,106,35,30,309,136,309,136
"73596",23555,40.72916,-77.7625,"montana",84,108,30,8833,266,-90,356,174,-35,194,-35,1045,112,67,15,315,209,303,209
"73597",23556,41.11138,-77.14694,"montana",81,115,31,8912,269,-97,366,172,-38,192,-38,1041,114,63,17,321,201,307,201
"73604",24807,33.6,-86.31667,"montana",164,137,40,7351,328,-7,335,83,218,256,67,1399,165,75,20,429,268,319,392
